location_key,gdp_per_capita_usd,data_year,source
AD,42414.0590092117,2022,World Bank API (REAL DATA)
AE,49899.0652975197,2022,World Bank API (REAL DATA)
AF,357.261152798144,2022,World Bank API (REAL DATA)
AL,6846.42669381643,2022,World Bank API (REAL DATA)
AM,6571.97445545099,2022,World Bank API (REAL DATA)
AR,13935.6811110049,2022,World Bank API (REAL DATA)
AT,52176.6649141178,2022,World Bank API (REAL DATA)
AU,64997.0136536475,2022,World Bank API (REAL DATA)
AW,30559.5335346581,2022,World Bank API (REAL DATA)
BF,836.118304593682,2022,World Bank API (REAL DATA)
BG,13999.6719197289,2022,World Bank API (REAL DATA)
BI,250.634225368744,2022,World Bank API (REAL DATA)
BJ,1266.42710981159,2022,World Bank API (REAL DATA)
BR,9281.33334441234,2022,World Bank API (REAL DATA)
BY,7994.64806074889,2022,World Bank API (REAL DATA)
BZ,7068.45478269722,2022,World Bank API (REAL DATA)
CD,642.612267148918,2022,World Bank API (REAL DATA)
